Task: Inpaint;
dataset: Celeba.

Pth will be saved to: ../../Pths/Inpaint/prefix/pretrain/64_128_6_2.pth


Image will be saved to: ../../Images/Inpaint/prefix/pretrain/64_128_6_2.eps

Generating Net...
Before PSNR: 14.849733929576685, 	 After PSNR: 8.088624981537288
Before PSNR: 14.82721145106421, 	 After PSNR: 8.239817553762686
Before PSNR: 14.759963649498495, 	 After PSNR: 8.404116356546275
Before PSNR: 14.64861073540352, 	 After PSNR: 8.29331838355117
Done.
Training Begins.
Now at epoch [1/48].
Paras have been created. Loaded.
The number of paras in the network is 11907712.
Test before training...
Inpaint local size 64, image size 64. Process: [4800/30000 (16.00%)]	Loss: 0.113901
Inpaint local size 64, image size 128. Process: [4800/30000 (4.00%)]	Loss: 0.112708
Inpaint local size 64, image size 64. Process: [4848/30000 (16.16%)]	Loss: 0.119086
Inpaint local size 64, image size 128. Process: [4848/30000 (4.04%)]	Loss: 0.119714
Inpaint local size 64, image size 64. Process: [4896/30000 (16.32%)]	Loss: 0.109285
Inpaint local size 64, image size 128. Process: [4896/30000 (4.08%)]	Loss: 0.122103
Inpaint local size 64, image size 64. Process: [4944/30000 (16.48%)]	Loss: 0.115290
Inpaint local size 64, image size 128. Process: [4944/30000 (4.12%)]	Loss: 0.136061
Inpaint local size 64, image size 64. Process: [4992/30000 (16.64%)]	Loss: 0.114997
Inpaint local size 64, image size 128. Process: [4992/30000 (4.16%)]	Loss: 0.125078
Inpaint local size 64, image size 64. Process: [5040/30000 (16.80%)]	Loss: 0.117876
Inpaint local size 64, image size 128. Process: [5040/30000 (4.20%)]	Loss: 0.113364
Inpaint local size 64, image size 64. Process: [5088/30000 (16.96%)]	Loss: 0.115641
Inpaint local size 64, image size 128. Process: [5088/30000 (4.24%)]	Loss: 0.108736
Inpaint local size 64, image size 64. Process: [5136/30000 (17.12%)]	Loss: 0.117851
Inpaint local size 64, image size 128. Process: [5136/30000 (4.28%)]	Loss: 0.132103
Inpaint local size 64, image size 64. Process: [5184/30000 (17.28%)]	Loss: 0.123960
Inpaint local size 64, image size 128. Process: [5184/30000 (4.32%)]	Loss: 0.116415
Inpaint local size 64, image size 64. Process: [5232/30000 (17.44%)]	Loss: 0.119197
Inpaint local size 64, image size 128. Process: [5232/30000 (4.36%)]	Loss: 0.098395
Inpaint local size 64, image size 64. Process: [5280/30000 (17.60%)]	Loss: 0.126422
Inpaint local size 64, image size 128. Process: [5280/30000 (4.40%)]	Loss: 0.126266
Inpaint local size 64, image size 64. Process: [5328/30000 (17.76%)]	Loss: 0.108633
Inpaint local size 64, image size 128. Process: [5328/30000 (4.44%)]	Loss: 0.116877
Inpaint local size 64, image size 64. Process: [5376/30000 (17.92%)]	Loss: 0.105098
Inpaint local size 64, image size 128. Process: [5376/30000 (4.48%)]	Loss: 0.132464
Inpaint local size 64, image size 64. Process: [5424/30000 (18.08%)]	Loss: 0.117705
Inpaint local size 64, image size 128. Process: [5424/30000 (4.52%)]	Loss: 0.110143
Inpaint local size 64, image size 64. Process: [5472/30000 (18.24%)]	Loss: 0.110162
Inpaint local size 64, image size 128. Process: [5472/30000 (4.56%)]	Loss: 0.116688
Inpaint local size 64, image size 64. Process: [5520/30000 (18.40%)]	Loss: 0.109144
Inpaint local size 64, image size 64. Process: [5568/30000 (18.56%)]	Loss: 0.114889
Inpaint local size 64, image size 128. Process: [5520/30000 (4.60%)]	Loss: 0.106807
Inpaint local size 64, image size 128. Process: [5568/30000 (4.64%)]	Loss: 0.107871
Inpaint local size 64, image size 64. Process: [5616/30000 (18.72%)]	Loss: 0.105852
Inpaint local size 64, image size 128. Process: [5616/30000 (4.68%)]	Loss: 0.116843
Inpaint local size 64, image size 64. Process: [5664/30000 (18.88%)]	Loss: 0.110366
Inpaint local size 64, image size 128. Process: [5664/30000 (4.72%)]	Loss: 0.111548
Inpaint local size 64, image size 64. Process: [5712/30000 (19.04%)]	Loss: 0.118136
Inpaint local size 64, image size 128. Process: [5712/30000 (4.76%)]	Loss: 0.106940
Inpaint local size 64, image size 64. Process: [5760/30000 (19.20%)]	Loss: 0.114917
Inpaint local size 64, image size 128. Process: [5760/30000 (4.80%)]	Loss: 0.108709
Inpaint local size 64, image size 64. Process: [5808/30000 (19.36%)]	Loss: 0.112180
Inpaint local size 64, image size 128. Process: [5808/30000 (4.84%)]	Loss: 0.129732
Inpaint local size 64, image size 64. Process: [5856/30000 (19.52%)]	Loss: 0.112412
Inpaint local size 64, image size 64. Process: [5904/30000 (19.68%)]	Loss: 0.106686
Inpaint local size 64, image size 128. Process: [5856/30000 (4.88%)]	Loss: 0.116284
Inpaint local size 64, image size 64. Process: [5952/30000 (19.84%)]	Loss: 0.110956
